Count,Tradelist Count,Name,Edition,Card Number,Condition,Language,Foil,Signed,Artist Proof,Altered Art,Misprint,Promo,Textless,My Price,Type,Cost,Image URL
2,0,Chosen by Heliod,Theros,5,Mint,English,,,,,,,,$0.00,Enchantment - Aura,{1}{W},https://deckbox.org/system/images/mtg/cards/373561.jpg
1,1,Chromeshell Crab,Commander 2019,81,Near Mint,English,,,,,,,,$0.00,Creature - Crab Beast,{4}{U},https://deckbox.org/system/images/mtg/cards/470627.jpg
1,0,Chromeshell Crab,Legions,32,Mint,English,,,,,,,,$0.00,Creature - Crab Beast,{4}{U},https://deckbox.org/system/images/mtg/cards/44205.jpg
1,0,Chronic Flooding,Return to Ravnica,32,Mint,English,,,,,,,,$0.00,Enchantment - Aura,{1}{U},https://deckbox.org/system/images/mtg/cards/270786.jpg
1,0,Chronicler of Heroes,Theros,190,Mint,English,,,,,,,,$0.00,Creature - Centaur Wizard,{1}{G}{W},https://deckbox.org/system/images/mtg/cards/373621.jpg
1,0,Chronomantic Escape,Future Sight,4,Mint,English,,,,,,,,$0.00,Sorcery,{4}{W}{W},https://deckbox.org/system/images/mtg/cards/126204.jpg
2,0,"Chulane, Teller of Tales",Throne of Eldraine,326,Near Mint,English,,,,,,,,$0.00,Legendary Creature - Human Druid,{2}{G}{W}{U},https://deckbox.org/system/images/mtg/cards/2005566.jpg
1,0,Churning Eddy,Torment,32,Mint,English,,,,,,,,$0.00,Sorcery,{3}{U},https://deckbox.org/system/images/mtg/cards/29720.jpg
1,0,Cinder Barrens,Commander 2019,235,Mint,English,,,,,,,,$0.00,Land,,https://deckbox.org/system/images/mtg/cards/470781.jpg
1,0,Cinder Giant,Weatherlight,93,Mint,English,,,,,,,,$0.00,Creature - Giant,{3}{R},https://deckbox.org/system/images/mtg/cards/4539.jpg
2,0,Cinder Glade,Commander 2019,236,Mint,English,,,,,,,,$0.00,Land - Mountain Forest,,https://deckbox.org/system/images/mtg/cards/470782.jpg
2,0,Cinder Glade,Commander 2020,263,Mint,English,,,,,,,,$0.00,Land - Mountain Forest,,https://deckbox.org/system/images/mtg/cards/2012260.jpg
1,0,Cinder Hellion,Oath of the Gatewatch,105,Mint,English,,,,,,,,$0.00,Creature - Hellion,{4}{R},https://deckbox.org/system/images/mtg/cards/407615.jpg
1,0,Cinder Marsh,Tempest,307,Near Mint,English,,,,,,,,$0.00,Land,,https://deckbox.org/system/images/mtg/cards/4931.jpg
1,0,Cinder Pyromancer,Eventide,50,Mint,English,,,,,,,,$0.00,Creature - Elemental Shaman,{2}{R},https://deckbox.org/system/images/mtg/cards/151067.jpg
1,0,Cinder Seer,Urza's Destiny,78,Near Mint,English,,,,,,,,$0.00,Creature - Human Wizard,{3}{R},https://deckbox.org/system/images/mtg/cards/15199.jpg
1,0,Cinderbones,Shadowmoor,59,Mint,English,,,,,,,,$0.00,Creature - Elemental Skeleton,{2}{B},https://deckbox.org/system/images/mtg/cards/142051.jpg
2,1,Cinderclasm,Zendikar Rising,136,Mint,English,,,,,,,,$0.00,Instant,{1}{R},https://deckbox.org/system/images/mtg/cards/2014674.jpg
1,0,Cinderhaze Wretch,Shadowmoor,60,Mint,English,,,,,,,,$0.00,Creature - Elemental Shaman,{4}{B},https://deckbox.org/system/images/mtg/cards/135439.jpg
1,0,Cinderheart Giant,Kaldheim,126,Mint,English,,,,,,,,$0.00,Creature - Giant Berserker,{5}{R}{R},https://deckbox.org/system/images/mtg/cards/2016919.jpg
1,0,Cindervines,Ravnica Allegiance,161,Near Mint,English,,,,,,,,$0.00,Enchantment,{R}{G},https://deckbox.org/system/images/mtg/cards/457305.jpg
1,0,Circle of Affliction,Planar Chaos,66,Near Mint,English,,,,,,,,$0.00,Enchantment,{1}{B},https://deckbox.org/system/images/mtg/cards/126803.jpg
1,0,Circle of Protection: Artifacts,Fifth Dawn,8,Mint,English,,,,,,,,$0.00,Enchantment,{1}{W},https://deckbox.org/system/images/mtg/cards/73561.jpg
1,0,Circle of Protection: Blue,Ice Age,237,Mint,English,,,,,,,,$0.00,Enchantment,{1}{W},https://deckbox.org/system/images/mtg/cards/2673.jpg
1,0,Circle of Protection: Blue,Tempest,221,Mint,English,,,,,,,,$0.00,Enchantment,{1}{W},https://deckbox.org/system/images/mtg/cards/4865.jpg
1,0,Circle of Protection: Green,Ice Age,238,Near Mint,English,,,,,,,,$0.00,Enchantment,{1}{W},https://deckbox.org/system/images/mtg/cards/2674.jpg
1,0,Circle of Protection: Green,Tempest,222,Mint,English,,,,,,,,$0.00,Enchantment,{1}{W},https://deckbox.org/system/images/mtg/cards/4866.jpg
1,0,Circle of Protection: Red,Ice Age,239,Near Mint,English,,,,,,,,$0.00,Enchantment,{1}{W},https://deckbox.org/system/images/mtg/cards/2675.jpg
1,0,Circle of Protection: Red,Tempest,223,Mint,English,,,,,,,,$0.00,Enchantment,{1}{W},https://deckbox.org/system/images/mtg/cards/4867.jpg
1,0,Circle of Protection: White,Ice Age,240,Near Mint,English,,,,,,,,$0.00,Enchantment,{1}{W},https://deckbox.org/system/images/mtg/cards/2676.jpg
1,0,Circle of Protection: White,Tempest,225,Mint,English,,,,,,,,$0.00,Enchantment,{1}{W},https://deckbox.org/system/images/mtg/cards/4869.jpg
1,0,Circuitous Route,Zendikar Rising Commander,62,Mint,English,,,,,,,,$0.00,Sorcery,{3}{G},https://deckbox.org/system/images/mtg/cards/2015160.jpg
2,0,Circuitous Route,Guilds of Ravnica,125,Mint,English,,,,,,,,$0.00,Sorcery,{3}{G},https://deckbox.org/system/images/mtg/cards/452875.jpg
1,0,Circular Logic,Ultimate Masters,47,Mint,English,,,,,,,,$0.00,Instant,{2}{U},https://deckbox.org/system/images/mtg/cards/2003447.jpg
1,0,Citadel Siege,Commander 2021,85,Mint,English,,,,,,,,$0.00,Enchantment,{2}{W}{W},https://deckbox.org/system/images/mtg/cards/2018528.jpg
1,0,Citanul Woodreaders,Modern Masters,140,Mint,English,foil,,,,,,,$0.00,Creature - Human Druid,{2}{G},https://deckbox.org/system/images/mtg/cards/370501.jpg
1,0,Citywide Bust,Commander 2020,82,Mint,English,,,,,,,,$0.00,Sorcery,{1}{W}{W},https://deckbox.org/system/images/mtg/cards/2012079.jpg
1,0,Citywide Bust,Guilds of Ravnica,4,Near Mint,English,,,,,,,,$0.00,Sorcery,{1}{W}{W},https://deckbox.org/system/images/mtg/cards/452754.jpg
1,0,Civic Guildmage,Mirage,211,Mint,English,,,,,,,,$0.00,Creature - Human Wizard,{W},https://deckbox.org/system/images/mtg/cards/3482.jpg
2,0,Civic Saber,Return to Ravnica,227,Mint,English,,,,,,,,$0.00,Artifact - Equipment,{1},https://deckbox.org/system/images/mtg/cards/253619.jpg
1,0,Civic Wayfinder,Eternal Masters,161,Near Mint,English,,,,,,,,$0.00,Creature - Elf Druid Warrior,{2}{G},https://deckbox.org/system/images/mtg/cards/413703.jpg
2,0,Claim // Fame,Hour of Devastation,150,Mint,English,,,,,,,,$0.00,Sorcery // Sorcery,{B},https://deckbox.org/system/images/mtg/cards/430839.jpg
1,0,Claim the Firstborn,Throne of Eldraine,118,Mint,English,,,,,,,,$0.00,Sorcery,{R},https://deckbox.org/system/images/mtg/cards/2005358.jpg
2,0,Clan Defiance,Gatecrash,151,Mint,English,,,,,,,,$0.00,Sorcery,{X}{R}{G},https://deckbox.org/system/images/mtg/cards/366468.jpg
1,1,Clan Defiance,Gatecrash,151,Near Mint,English,,,,,,,,$0.00,Sorcery,{X}{R}{G},https://deckbox.org/system/images/mtg/cards/366468.jpg
1,0,Clarion Spirit,Kaldheim,6,Mint,English,,,,,,,,$0.00,Creature - Spirit,{1}{W},https://deckbox.org/system/images/mtg/cards/2016791.jpg
1,0,Clash of Titans,Ikoria: Lair of Behemoths,111,Mint,English,,,,,,,,$0.00,Instant,{3}{R}{R},https://deckbox.org/system/images/mtg/cards/2011632.jpg
1,0,Claws of Valakut,Worldwake,75,Mint,English,,,,,,,,$0.00,Enchantment - Aura,{1}{R}{R},https://deckbox.org/system/images/mtg/cards/193975.jpg
1,0,Cleanfall,Champions of Kamigawa,6,Mint,English,,,,,,,,$0.00,Sorcery - Arcane,{2}{W},https://deckbox.org/system/images/mtg/cards/80500.jpg
1,0,Cleansing Beam,Ravnica: City of Guilds,118,Mint,English,,,,,,,,$0.00,Instant,{4}{R},https://deckbox.org/system/images/mtg/cards/83567.jpg
1,0,Cleansing Nova,Commander 2020,83,Mint,English,,,,,,,,$0.00,Sorcery,{3}{W}{W},https://deckbox.org/system/images/mtg/cards/2012080.jpg
1,0,Cleansing Nova,Kaldheim Commander,20,Mint,English,,,,,,,,$0.00,Sorcery,{3}{W}{W},https://deckbox.org/system/images/mtg/cards/508310.jpg
1,0,Cleansing Nova,Commander 2021,86,Mint,English,,,,,,,,$0.00,Sorcery,{3}{W}{W},https://deckbox.org/system/images/mtg/cards/2018529.jpg
1,0,Cleansing Nova,Core Set 2019,9,Mint,English,,,,,,,,$0.00,Sorcery,{3}{W}{W},https://deckbox.org/system/images/mtg/cards/447145.jpg
1,0,Cleansing Ray,Rivals of Ixalan,4,Mint,English,,,,,,,,$0.00,Sorcery,{1}{W},https://deckbox.org/system/images/mtg/cards/439661.jpg
2,0,Cleansing Wildfire,Zendikar Rising,137,Mint,English,,,,,,,,$0.00,Sorcery,{1}{R},https://deckbox.org/system/images/mtg/cards/2014675.jpg
1,0,Clear the Mind,Ravnica Allegiance,34,Mint,English,,,,,,,,$0.00,Sorcery,{2}{U},https://deckbox.org/system/images/mtg/cards/457178.jpg
1,0,Cleaver Riot,Magic 2013,125,Mint,English,,,,,,,,$0.00,Sorcery,{4}{R},https://deckbox.org/system/images/mtg/cards/276207.jpg
1,0,Cleaving Sliver,Modern Horizons,121,Mint,English,,,,,,,,$0.00,Creature - Sliver,{3}{R},https://deckbox.org/system/images/mtg/cards/464070.jpg
1,0,Cleric of Chill Depths,Zendikar Rising,51,Mint,English,,,,,,,,$0.00,Creature - Merfolk Cleric,{1}{U},https://deckbox.org/system/images/mtg/cards/2014577.jpg
1,0,Cleric of Life's Bond,Zendikar Rising,222,Mint,English,,,,,,,,$0.00,Creature - Vampire Cleric,{W}{B},https://deckbox.org/system/images/mtg/cards/2014771.jpg
4,2,Clever Impersonator,Commander 2019,82,Mint,English,,,,,,,,$0.00,Creature - Shapeshifter,{2}{U}{U},https://deckbox.org/system/images/mtg/cards/470628.jpg
1,0,Cliffhaven Kitesail,Zendikar Rising,243,Mint,English,,,,,,,,$0.00,Artifact - Equipment,{1},https://deckbox.org/system/images/mtg/cards/2014792.jpg
1,0,Cliffhaven Vampire,Oath of the Gatewatch,153,Mint,English,,,,,,,,$0.00,Creature - Vampire Warrior Ally,{2}{W}{B},https://deckbox.org/system/images/mtg/cards/407663.jpg
1,0,Cliffside Lookout,Battle for Zendikar,20,Mint,English,,,,,,,,$0.00,Creature - Kor Scout Ally,{W},https://deckbox.org/system/images/mtg/cards/401842.jpg
2,0,Cliffside Rescuer,Commander 2019,1,Mint,English,,,,,,,,$0.00,Creature - Kor Soldier,{1}{W},https://deckbox.org/system/images/mtg/cards/470547.jpg
1,0,Clip Wings,Shadows over Innistrad,197,Mint,English,,,,,,,,$0.00,Instant,{1}{G},https://deckbox.org/system/images/mtg/cards/409955.jpg
2,0,Cloak and Dagger,Morningtide,141,Mint,English,,,,,,,,$0.00,Tribal Artifact - Rogue Equipment,{2},https://deckbox.org/system/images/mtg/cards/152604.jpg
1,0,Cloak and Dagger,Morningtide,141,Near Mint,English,,,,,,,,$0.00,Tribal Artifact - Rogue Equipment,{2},https://deckbox.org/system/images/mtg/cards/152604.jpg
1,0,Cloak of Feathers,Portal,45,Near Mint,English,,,,,,,,$0.00,Sorcery,{U},https://deckbox.org/system/images/mtg/cards/4251.jpg
1,0,Cloak of Invisibility,Mirage,58,Mint,English,,,,,,,,$0.00,Enchantment - Aura,{U},https://deckbox.org/system/images/mtg/cards/3329.jpg
1,0,Cloak of Mists,Urza's Saga,65,Mint,English,,,,,,,,$0.00,Enchantment - Aura,{1}{U},https://deckbox.org/system/images/mtg/cards/5718.jpg
1,0,Clock of Omens,Magic 2013,202,Near Mint,English,,,,,,,,$0.00,Artifact,{4},https://deckbox.org/system/images/mtg/cards/288877.jpg
1,0,Clockspinning,Time Spiral,53,Mint,English,,,,,,,,$0.00,Instant,{U},https://deckbox.org/system/images/mtg/cards/109673.jpg
1,0,Clockwork Beast,Beatdown Box Set,70,Mint,English,,,,,,,,$0.00,Artifact Creature - Beast,{6},https://deckbox.org/system/images/mtg/cards/26617.jpg
2,0,Clockwork Servant,Throne of Eldraine,216,Mint,English,,,,,,,,$0.00,Artifact Creature - Gnome,{3},https://deckbox.org/system/images/mtg/cards/2005456.jpg
1,0,Clockwork Vorrac,Mirrodin,156,Mint,English,,,,,,,,$0.00,Artifact Creature - Boar Beast,{5},https://deckbox.org/system/images/mtg/cards/46123.jpg
1,0,Clone,Magic 2010,45,Near Mint,English,,,,,,,,$0.00,Creature - Shapeshifter,{3}{U},https://deckbox.org/system/images/mtg/cards/191321.jpg
1,0,Clone Legion,Commander 2017,84,Near Mint,English,,,,,,,,$0.00,Sorcery,{7}{U}{U},https://deckbox.org/system/images/mtg/cards/433016.jpg
1,0,Clone Shell,Scars of Mirrodin,143,Near Mint,English,,,,,,,,$0.00,Artifact Creature - Shapeshifter,{5},https://deckbox.org/system/images/mtg/cards/209278.jpg
2,0,Clone Shell,Scars of Mirrodin,143,Mint,English,,,,,,,,$0.00,Artifact Creature - Shapeshifter,{5},https://deckbox.org/system/images/mtg/cards/209278.jpg
1,0,Closing Statement,Strixhaven: School of Mages,169,Mint,English,,,,,,,,$0.00,Instant,{3}{W}{B},https://deckbox.org/system/images/mtg/cards/2018119.jpg
1,0,Clot Sliver,Tempest,6,Mint,English,,,,,,,,$0.00,Creature - Sliver,{1}{B},https://deckbox.org/system/images/mtg/cards/4640.jpg
1,0,Cloud Cover,Planeshift,98,Near Mint,English,,,,,,,,$0.00,Enchantment,{2}{W}{U},https://deckbox.org/system/images/mtg/cards/25899.jpg
1,0,Cloud of Faeries,Urza's Legacy,29,Near Mint,English,,,,,,,,$0.00,Creature - Faerie,{1}{U},https://deckbox.org/system/images/mtg/cards/11588.jpg
1,0,Cloud Spirit,Stronghold,26,Mint,English,,,,,,,,$0.00,Creature - Spirit,{2}{U},https://deckbox.org/system/images/mtg/cards/5122.jpg
1,1,Cloudblazer,Kaldheim Commander,84,Mint,English,,,,,,,,$0.00,Creature - Human Scout,{3}{W}{U},https://deckbox.org/system/images/mtg/cards/508374.jpg
1,0,Cloudblazer,Kaladesh,176,Mint,English,,,,,,,,$0.00,Creature - Human Scout,{3}{W}{U},https://deckbox.org/system/images/mtg/cards/417749.jpg
1,0,Cloudchaser Eagle,Tempest,227,Mint,English,,,,,,,,$0.00,Creature - Bird,{3}{W},https://deckbox.org/system/images/mtg/cards/4871.jpg
1,0,Cloudchaser Kestrel,Time Spiral,10,Mint,English,,,,,,,,$0.00,Creature - Bird,{1}{W}{W},https://deckbox.org/system/images/mtg/cards/113507.jpg
1,0,Cloudcrest Lake,Champions of Kamigawa,274,Near Mint,English,,,,,,,,$0.00,Land,,https://deckbox.org/system/images/mtg/cards/79115.jpg
2,0,Cloudfin Raptor,Ravnica Allegiance Guild Kit,108,Mint,English,,,,,,,,$0.00,Creature - Bird Mutant,{U},https://deckbox.org/system/images/mtg/cards/2004235.jpg
1,0,Cloudfin Raptor,Gatecrash,32,Mint,English,,,,,,,,$0.00,Creature - Bird Mutant,{U},https://deckbox.org/system/images/mtg/cards/366403.jpg
1,1,Cloudform,Fate Reforged,32,Mint,English,,,,,,,,$0.00,Enchantment,{1}{U}{U},https://deckbox.org/system/images/mtg/cards/391810.jpg
1,0,Cloudgoat Ranger,Kaldheim Commander,21,Mint,English,,,,,,,,$0.00,Creature - Giant Warrior,{3}{W}{W},https://deckbox.org/system/images/mtg/cards/508311.jpg
1,0,Cloudgoat Ranger,Lorwyn,10,Near Mint,English,,,,,,,,$0.00,Creature - Giant Warrior,{3}{W}{W},https://deckbox.org/system/images/mtg/cards/139664.jpg
1,0,Cloudreader Sphinx,Dominaria,47,Mint,English,,,,,,,,$0.00,Creature - Sphinx,{4}{U},https://deckbox.org/system/images/mtg/cards/442935.jpg
2,0,Cloudshift,Avacyn Restored,12,Mint,English,,,,,,,,$0.00,Instant,{W},https://deckbox.org/system/images/mtg/cards/240006.jpg
2,0,Cloudshredder Sliver,Modern Horizons,195,Near Mint,English,,,,,,,,$0.00,Creature - Sliver,{R}{W},https://deckbox.org/system/images/mtg/cards/464144.jpg
1,0,Cloudthresher,Lorwyn,202,Mint,English,,,,,,,,$0.00,Creature - Elemental,{2}{G}{G}{G}{G},https://deckbox.org/system/images/mtg/cards/146173.jpg
1,0,Clout of the Dominus,Eventide,99,Mint,English,,,,,,,,$0.00,Enchantment - Aura,{UR},https://deckbox.org/system/images/mtg/cards/152092.jpg
1,0,Cloven Casting,Alara Reborn,86,Mint,English,,,,,,,,$0.00,Enchantment,{5}{U}{R},https://deckbox.org/system/images/mtg/cards/189653.jpg
1,0,Cloven Casting,Alara Reborn,86,Near Mint,English,,,,,,,,$0.00,Enchantment,{5}{U}{R},https://deckbox.org/system/images/mtg/cards/189653.jpg
1,0,Clutch of Currents,Battle for Zendikar,72,Mint,English,,,,,,,,$0.00,Sorcery,{U},https://deckbox.org/system/images/mtg/cards/401844.jpg
3,2,Clutch of the Undercity,Ravnica: City of Guilds,197,Mint,English,,,,,,,,$0.00,Instant,{1}{U}{U}{B},https://deckbox.org/system/images/mtg/cards/89037.jpg
1,0,Coalhauler Swine,Ravnica: City of Guilds,119,Near Mint,English,,,,,,,,$0.00,Creature - Boar Beast,{4}{R}{R},https://deckbox.org/system/images/mtg/cards/87949.jpg
1,0,Coalition Flag,Apocalypse,2,Mint,English,,,,,,,,$0.00,Enchantment - Aura,{W},https://deckbox.org/system/images/mtg/cards/26791.jpg
1,0,Coalition Honor Guard,Eternal Masters,6,Mint,English,,,,,,,,$0.00,Creature - Human Flagbearer,{3}{W},https://deckbox.org/system/images/mtg/cards/413548.jpg
1,0,Coalition Victory,Invasion,241,Near Mint,English,,,,,,,,$0.00,Sorcery,{3}{W}{U}{B}{R}{G},https://deckbox.org/system/images/mtg/cards/23216.jpg
1,0,Coastal Discovery,Battle for Zendikar,73,Mint,English,,,,,,,,$0.00,Sorcery,{3}{U},https://deckbox.org/system/images/mtg/cards/401845.jpg
1,0,Coastal Tower,Invasion,321,Near Mint,English,,,,,,,,$0.00,Land,,https://deckbox.org/system/images/mtg/cards/23240.jpg
1,0,Coastline Marauders,Commander Legends,168,Mint,English,,,,,,,,$0.00,Creature - Human Pirate,{2}{R},https://deckbox.org/system/images/mtg/cards/2015874.jpg
1,0,Coat with Venom,Dragons of Tarkir,91,Mint,English,,,,,,,,$0.00,Instant,{B},https://deckbox.org/system/images/mtg/cards/394518.jpg
1,0,Code of Constraint,Ravnica Allegiance,35,Mint,English,,,,,,,,$0.00,Instant,{2}{U},https://deckbox.org/system/images/mtg/cards/457179.jpg
1,0,Codespell Cleric,Kaldheim,7,Mint,English,,,,,,,,$0.00,Creature - Human Cleric,{W},https://deckbox.org/system/images/mtg/cards/2016792.jpg
1,0,Codex Shredder,Commander Legends,304,Mint,English,,,,,,,,$0.00,Artifact,{1},https://deckbox.org/system/images/mtg/cards/2016010.jpg
1,0,Cogworker's Puzzleknot,Kaladesh,201,Mint,English,,,,,,,,$0.00,Artifact,{2},https://deckbox.org/system/images/mtg/cards/417774.jpg
1,0,Coiling Oracle,Modern Masters 2017 Edition,157,Near Mint,English,,,,,,,,$0.00,Creature - Snake Elf Druid,{G}{U},https://deckbox.org/system/images/mtg/cards/425982.jpg
1,0,Coiling Oracle,Ravnica Allegiance Guild Kit,115,Mint,English,,,,,,,,$0.00,Creature - Snake Elf Druid,{G}{U},https://deckbox.org/system/images/mtg/cards/2004242.jpg
1,0,Coiling Oracle,Ravnica Allegiance Guild Kit,115,Near Mint,English,,,,,,,,$0.00,Creature - Snake Elf Druid,{G}{U},https://deckbox.org/system/images/mtg/cards/2004242.jpg
1,1,Coiling Oracle,Commander Legends,443,Mint,English,,,,,,,,$0.00,Creature - Snake Elf Druid,{G}{U},https://deckbox.org/system/images/mtg/cards/2016149.jpg
1,1,Coiling Oracle,Commander 2021,212,Mint,English,,,,,,,,$0.00,Creature - Snake Elf Druid,{G}{U},https://deckbox.org/system/images/mtg/cards/2018655.jpg
1,0,Cold-Eyed Selkie,Commander 2018,172,Mint,English,,,,,,,,$0.00,Creature - Merfolk Rogue,{1}{GU}{GU},https://deckbox.org/system/images/mtg/cards/451127.jpg
1,0,Cold-Eyed Selkie,Commander 2018,172,Near Mint,English,,,,,,,,$0.00,Creature - Merfolk Rogue,{1}{GU}{GU},https://deckbox.org/system/images/mtg/cards/451127.jpg
1,0,Cold-Eyed Selkie,Commander 2020,204,Mint,English,,,,,,,,$0.00,Creature - Merfolk Rogue,{1}{GU}{GU},https://deckbox.org/system/images/mtg/cards/2012201.jpg
1,0,Colfenor's Plans,Lorwyn,106,Near Mint,English,,,,,,,,$0.00,Enchantment,{2}{B}{B},https://deckbox.org/system/images/mtg/cards/146581.jpg
1,0,"Colfenor, the Last Yew",Commander Legends,274,Mint,English,,,,,,,,$0.00,Legendary Creature - Treefolk Shaman,{3}{W}{B}{G},https://deckbox.org/system/images/mtg/cards/2015980.jpg
1,0,Collateral Damage,Fate Reforged,95,Mint,English,,,,,,,,$0.00,Instant,{R},https://deckbox.org/system/images/mtg/cards/391811.jpg
1,0,Collective Defiance,Eldritch Moon,123,Mint,English,,,,,,,,$0.00,Sorcery,{1}{R}{R},https://deckbox.org/system/images/mtg/cards/414420.jpg
2,0,Colossal Majesty,Commander 2019,158,Mint,English,,,,,,,,$0.00,Enchantment,{2}{G},https://deckbox.org/system/images/mtg/cards/470704.jpg
1,0,Colossal Majesty,Core Set 2019,173,Near Mint,English,,,,,,,,$0.00,Enchantment,{2}{G},https://deckbox.org/system/images/mtg/cards/447309.jpg
1,0,Colossal Plow,Kaldheim,236,Mint,English,,,,,,,,$0.00,Artifact - Vehicle,{2},https://deckbox.org/system/images/mtg/cards/2017033.jpg
1,0,Colossification,Ikoria: Lair of Behemoths,148,Mint,English,,,,,,,,$0.00,Enchantment - Aura,{5}{G}{G},https://deckbox.org/system/images/mtg/cards/2011669.jpg
1,0,Colossus Hammer,Core Set 2020,223,Mint,English,,,,,,,,$0.00,Artifact - Equipment,{1},https://deckbox.org/system/images/mtg/cards/466977.jpg
1,0,Combat Calligrapher,Commander 2021,14,Mint,English,,,,,,,,$0.00,Creature - Bird Cleric,{3}{W},https://deckbox.org/system/images/mtg/cards/2018457.jpg
1,0,Combat Professor,Strixhaven: School of Mages,11,Mint,English,,,,,,,,$0.00,Creature - Bird Cleric,{3}{W},https://deckbox.org/system/images/mtg/cards/2017946.jpg
1,0,Combo Attack,Battlebond,67,Mint,English,,,,,,,,$0.00,Sorcery,{2}{G},https://deckbox.org/system/images/mtg/cards/446035.jpg
1,0,Combust,Magic 2012,128,Mint,English,,,,,,,,$0.00,Instant,{1}{R},https://deckbox.org/system/images/mtg/cards/226591.jpg
1,0,Combustible Gearhulk,Commander 2021,163,Mint,English,,,,,,,,$0.00,Artifact Creature - Construct,{4}{R}{R},https://deckbox.org/system/images/mtg/cards/2018606.jpg
1,0,Comet Storm,Commander Anthology,79,Mint,English,,,,,,,,$0.00,Instant,{X}{R}{R},https://deckbox.org/system/images/mtg/cards/430298.jpg
2,1,Comet Storm,Commander 2020,148,Mint,English,,,,,,,,$0.00,Instant,{X}{R}{R},https://deckbox.org/system/images/mtg/cards/2012145.jpg
1,0,Comet Storm,Commander Legends,411,Mint,English,,,,,,,,$0.00,Instant,{X}{R}{R},https://deckbox.org/system/images/mtg/cards/2016117.jpg
1,0,Command the Dreadhorde,War of the Spark,82,Mint,English,,,,,,,,$0.00,Sorcery,{4}{B}{B},https://deckbox.org/system/images/mtg/cards/461009.jpg
2,0,Command Tower,Commander 2013,281,Near Mint,English,,,,,,,,$0.00,Land,"",https://deckbox.org/system/images/mtg/cards/376280.jpg
5,0,Command Tower,Commander 2018,240,Mint,English,,,,,,,,$0.00,Land,"",https://deckbox.org/system/images/mtg/cards/451195.jpg
9,1,Command Tower,Commander 2019,237,Mint,English,,,,,,,,$0.00,Land,"",https://deckbox.org/system/images/mtg/cards/470783.jpg
1,0,Command Tower,Commander 2019,237,Near Mint,English,,,,,,,,$0.00,Land,"",https://deckbox.org/system/images/mtg/cards/470783.jpg
5,1,Command Tower,Commander 2020,264,Mint,English,,,,,,,,$0.00,Land,"",https://deckbox.org/system/images/mtg/cards/2012261.jpg
1,1,Command Tower,Zendikar Rising Commander,124,Mint,English,,,,,,,,$0.00,Land,"",https://deckbox.org/system/images/mtg/cards/2015223.jpg
1,1,Command Tower,Commander Legends,350,Mint,English,,,,,,,,$0.00,Land,"",https://deckbox.org/system/images/mtg/cards/2016056.jpg
2,1,Command Tower,Kaldheim Commander,108,Mint,English,,,,,,,,$0.00,Land,"",https://deckbox.org/system/images/mtg/cards/508398.jpg
7,1,Command Tower,Throne of Eldraine,333,Mint,English,,,,,,,,$0.00,Land,"",https://deckbox.org/system/images/mtg/cards/2005573.jpg
1,0,Commander's Insight,Commander 2021,23,Mint,English,,,,,,,,$0.00,Instant,{X}{U}{U}{U},https://deckbox.org/system/images/mtg/cards/2018466.jpg
1,0,Commander's Insignia,Commander 2019,2,Mint,English,,,,,,,,$0.00,Enchantment,{2}{W}{W},https://deckbox.org/system/images/mtg/cards/470548.jpg
1,1,Commander's Insignia,Commander 2019,2,Near Mint,English,,,,,,,,$0.00,Enchantment,{2}{W}{W},https://deckbox.org/system/images/mtg/cards/470548.jpg
1,0,Commander's Plate,Commander Legends,305,Mint,English,,,,,,,,$0.00,Artifact - Equipment,{1},https://deckbox.org/system/images/mtg/cards/2016011.jpg
1,0,Commander's Sphere,Commander 2019,212,Near Mint,English,,,,,,,,$0.00,Artifact,{3},https://deckbox.org/system/images/mtg/cards/470758.jpg
6,1,Commander's Sphere,Commander 2019,212,Mint,English,,,,,,,,$0.00,Artifact,{3},https://deckbox.org/system/images/mtg/cards/470758.jpg
4,1,Commander's Sphere,Commander 2020,240,Mint,English,,,,,,,,$0.00,Artifact,{3},https://deckbox.org/system/images/mtg/cards/2012237.jpg
1,0,Commander's Sphere,Zendikar Rising Commander,109,Mint,English,,,,,,,,$0.00,Artifact,{3},https://deckbox.org/system/images/mtg/cards/2015208.jpg
3,3,Commander's Sphere,Commander Legends,306,Mint,English,,,,,,,,$0.00,Artifact,{3},https://deckbox.org/system/images/mtg/cards/2016012.jpg
1,1,Commander's Sphere,Kaldheim Commander,99,Mint,English,,,,,,,,$0.00,Artifact,{3},https://deckbox.org/system/images/mtg/cards/508389.jpg
1,0,Commencement of Festivities,Kaladesh,148,Mint,English,,,,,,,,$0.00,Instant,{1}{G},https://deckbox.org/system/images/mtg/cards/417721.jpg
2,1,Commune with Lava,Commander 2020,149,Mint,English,,,,,,,,$0.00,Instant,{X}{R}{R},https://deckbox.org/system/images/mtg/cards/2012146.jpg
2,0,Commune with Nature,Tenth Edition,256,Mint,English,,,,,,,,$0.00,Sorcery,{G},https://deckbox.org/system/images/mtg/cards/130521.jpg
1,0,Commune with the Gods,Theros,155,Mint,English,,,,,,,,$0.00,Sorcery,{1}{G},https://deckbox.org/system/images/mtg/cards/373656.jpg
1,0,Complete Disregard,Battle for Zendikar,90,Mint,English,,,,,,,,$0.00,Instant,{2}{B},https://deckbox.org/system/images/mtg/cards/401846.jpg
